Title,IMDb Rating,Year,Certificates,Director,Star Cast,Duration (minutes),Star Cast Lower,Star Cast List,Star Cast List Clean,Genres,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Reality-TV,Romance,Sci-Fi,Sport,Thriller,Western,Director_Encoded
inception,0.8750000000000002,0.861111111111111,PG-13,christopher nolan,"Leonardo Di, Caprio, Joseph Gordon-Levitt, Elliot Page",0.3763837638376384,"leonardo di, caprio, joseph gordon-levitt, elliot page","['leonardo di', 'caprio', 'joseph gordon-levitt', 'elliot page']","['leonardo di', 'caprio', 'joseph gordon-levitt', 'elliot page']",['Action'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415
twister,0.4642857142857144,0.7314814814814815,PG-13,jan de bont,"Helen Hunt, Bill Paxton, Cary Elwes",0.2472324723247232,"helen hunt, bill paxton, cary elwes","['helen hunt', 'bill paxton', 'cary elwes']","['helen hunt', 'bill paxton', 'cary elwes']",['Action'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,998
damsel,0.3928571428571429,0.9907407407407408,PG-13,juan carlos fresnadillo,"Millie Bobby Brown, Ray Winstone, Angela Bassett",0.2361623616236162,"millie bobby brown, ray winstone, angela bassett","['millie bobby brown', 'ray winstone', 'angela bassett']","['millie bobby brown', 'ray winstone', 'angela bassett']",['Action'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1218
dune,0.4285714285714286,0.6203703703703703,PG-13,david lynch,"Kyle Mac, Lachlan, Virginia Madsen, Francesca Annis",0.3357933579335793,"kyle mac, lachlan, virginia madsen, francesca annis","['kyle mac', 'lachlan', 'virginia madsen', 'francesca annis']","['kyle mac', 'lachlan', 'virginia madsen', 'francesca annis']",['Action'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530
arthur the king,0.5535714285714287,0.9907407407407408,PG-13,simon cellan jones,"Mark Wahlberg, Simu Liu, Juliet Rylance",0.2250922509225092,"mark wahlberg, simu liu, juliet rylance","['mark wahlberg', 'simu liu', 'juliet rylance']","['mark wahlberg', 'simu liu', 'juliet rylance']",['Adventure'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2149
kung fu panda ,0.4285714285714286,0.9907407407407408,PG,mike mitchell,"Jonathan Aibel, Glenn Berger, Darren Lemke",0.1771217712177122,"jonathan aibel, glenn berger, darren lemke","['jonathan aibel', 'glenn berger', 'darren lemke']","['jonathan aibel', 'glenn berger', 'darren lemke']",['Animation'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1629
mad max beyond thunderdome,0.4107142857142858,0.6296296296296295,PG-13,george miller,"Terry Hayes, George Miller, Byron Kennedy",0.2250922509225092,"terry hayes, george miller, byron kennedy","['terry hayes', 'george miller', 'byron kennedy']","['terry hayes', 'george miller', 'byron kennedy']",['Action'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,775
manjummel boys,0.8035714285714288,0.9907407407407408,R,chidambaram,"Soubin Shahir, Sreenath Bhasi, Balu Varghese",0.2594095940959409,"soubin shahir, sreenath bhasi, balu varghese","['soubin shahir', 'sreenath bhasi', 'balu varghese']","['soubin shahir', 'sreenath bhasi', 'balu varghese']",['Adventure'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368
golden kamuy,0.4464285714285716,0.9907407407407408,R,shigeaki kubo,"Kento Yamazaki, Anna Yamada, Yûma Yamoto",0.2594095940959409,"kento yamazaki, anna yamada, yûma yamoto","['kento yamazaki', 'anna yamada', 'yûma yamoto']","['kento yamazaki', 'anna yamada', 'yûma yamoto']",['Action'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2134
planet of the apes,0.7321428571428573,0.4722222222222222,G,franklin j. schaffner,"Michael Wilson, Rod Serling, Pierre Boulle",0.2435424354243542,"michael wilson, rod serling, pierre boulle","['michael wilson', 'rod serling', 'pierre boulle']","['michael wilson', 'rod serling', 'pierre boulle']",['Adventure'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720
barbie,0.5178571428571429,0.9814814814814814,PG-13,greta gerwig,"Margot Robbie, Ryan Gosling, Issa Rae",0.2509225092250922,"margot robbie, ryan gosling, issa rae","['margot robbie', 'ryan gosling', 'issa rae']","['margot robbie', 'ryan gosling', 'issa rae']",['Adventure'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,823
twisters,0.5714285714285715,0.9907407407407408,PG-13,lee isaac chung,"Mark L. Smith, Joseph Kosinski, Michael Crichton",0.2594095940959409,"mark l. smith, joseph kosinski, michael crichton","['mark l. smith', 'joseph kosinski', 'michael crichton']","['mark l. smith', 'joseph kosinski', 'michael crichton']",['Action'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1378
inside out ,0.5714285714285715,0.9907407407407408,PG,kelsey mann,"Amy Poehler, Phyllis Smith, Lewis Black",0.1992619926199262,"amy poehler, phyllis smith, lewis black","['amy poehler', 'phyllis smith', 'lewis black']","['amy poehler', 'phyllis smith', 'lewis black']",['Animation'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1289
bad boys: ride or die,0.5714285714285715,0.9907407407407408,R,adil el arbi,"Will Smith, Martin Lawrence, Vanessa Hudgens",0.2594095940959409,"will smith, martin lawrence, vanessa hudgens","['will smith', 'martin lawrence', 'vanessa hudgens']","['will smith', 'martin lawrence', 'vanessa hudgens']",['Action'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
mad max : the road warrior,0.6607142857142858,0.5925925925925926,R,george miller,"Terry Hayes, George Miller, Brian Hannant",0.1845018450184501,"terry hayes, george miller, brian hannant","['terry hayes', 'george miller', 'brian hannant']","['terry hayes', 'george miller', 'brian hannant']",['Action'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,775
godzilla minus one,0.7142857142857144,0.9814814814814814,PG-13,takashi yamazaki,"Ryunosuke Kamiki, Minami Hamabe, Sakura Andô",0.2878228782287823,"ryunosuke kamiki, minami hamabe, sakura andô","['ryunosuke kamiki', 'minami hamabe', 'sakura andô']","['ryunosuke kamiki', 'minami hamabe', 'sakura andô']",['Action'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247
love lies bleeding,0.5000000000000001,0.9907407407407408,R,rose glass,"Anna Baryshnikov, Kristen Stewart, Dave Franco",0.2140221402214022,"anna baryshnikov, kristen stewart, dave franco","['anna baryshnikov', 'kristen stewart', 'dave franco']","['anna baryshnikov', 'kristen stewart', 'dave franco']",['Action'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026
dawn of the planet of the apes,0.6607142857142858,0.8981481481481481,PG-13,matt reeves,"Mark Bomback, Rick Jaffa, Amanda Silver",0.3099630996309963,"mark bomback, rick jaffa, amanda silver","['mark bomback', 'rick jaffa', 'amanda silver']","['mark bomback', 'rick jaffa', 'amanda silver']",['Action'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1528
planet of the apes,0.3214285714285715,0.7777777777777778,PG-13,tim burton,"Pierre Boulle, William Broyles Jr.Lawrence Konner",0.2730627306273063,"pierre boulle, william broyles jr.lawrence konner","['pierre boulle', 'william broyles jr.lawrence konner']","['pierre boulle', 'william broyles jr.lawrence konner']",['Action'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2297
mad max,0.5178571428571429,0.5740740740740741,R,george miller,"James Mc, Causland, George Miller, Byron Kennedy",0.1549815498154981,"james mc, causland, george miller, byron kennedy","['james mc', 'causland', 'george miller', 'byron kennedy']","['james mc', 'causland', 'george miller', 'byron kennedy']",['Action'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,775
war for the planet of the apes,0.6250000000000002,0.925925925925926,PG-13,matt reeves,"Mark Bomback, Matt Reeves, Rick Jaffa",0.3468634686346863,"mark bomback, matt reeves, rick jaffa","['mark bomback', 'matt reeves', 'rick jaffa']","['mark bomback', 'matt reeves', 'rick jaffa']",['Action'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1528
ghostbusters: frozen empire,0.4107142857142858,0.9907407407407408,PG-13,gil kenan,"Gil Kenan, Jason Reitman, Ivan Reitman",0.2546125461254612,"gil kenan, jason reitman, ivan reitman","['gil kenan', 'jason reitman', 'ivan reitman']","['gil kenan', 'jason reitman', 'ivan reitman']",['Adventure'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,787
thelma the unicorn,0.3392857142857143,0.9907407407407408,PG,jared hess,"Brittany Howard, Will Forte, Jon Heder",0.1734317343173431,"brittany howard, will forte, jon heder","['brittany howard', 'will forte', 'jon heder']","['brittany howard', 'will forte', 'jon heder']",['Animation'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1006
the garfield movie,0.3571428571428573,0.9907407407407408,PG,mark dindal,"Paul A. Kaplan, Mark Torgove, David Reynolds",0.2029520295202952,"paul a. kaplan, mark torgove, david reynolds","['paul a. kaplan', 'mark torgove', 'david reynolds']","['paul a. kaplan', 'mark torgove', 'david reynolds']",['Animation'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1479
godzilla x kong: the new empire,0.4107142857142858,0.9907407407407408,PG-13,adam wingard,"Terry Rossio, Adam Wingard, Simon Barrett",0.2546125461254612,"terry rossio, adam wingard, simon barrett","['terry rossio', 'adam wingard', 'simon barrett']","['terry rossio', 'adam wingard', 'simon barrett']",['Action'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
civil war,0.6250000000000002,0.9907407407407408,R,alex garland,"Kirsten Dunst, Wagner Moura, Cailee Spaeny",0.2324723247232472,"kirsten dunst, wagner moura, cailee spaeny","['kirsten dunst', 'wagner moura', 'cailee spaeny']","['kirsten dunst', 'wagner moura', 'cailee spaeny']",['Action'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
mad max: fury road,0.75,0.9074074074074074,R,george miller,"Tom Hardy, Charlize Theron, Nicholas Hoult",0.2730627306273063,"tom hardy, charlize theron, nicholas hoult","['tom hardy', 'charlize theron', 'nicholas hoult']","['tom hardy', 'charlize theron', 'nicholas hoult']",['Action'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,775
atlas,0.3035714285714286,0.9907407407407408,PG-13,brad peyton,"Jennifer Lopez, Simu Liu, Sterling K. Brown",0.2656826568265683,"jennifer lopez, simu liu, sterling k. brown","['jennifer lopez', 'simu liu', 'sterling k. brown']","['jennifer lopez', 'simu liu', 'sterling k. brown']",['Action'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263
kingdom of the planet of the apes,0.5892857142857144,0.9907407407407408,PG-13,wes ball,"Owen Teague, Freya Allan, Kevin Durand",0.3653136531365313,"owen teague, freya allan, kevin durand","['owen teague', 'freya allan', 'kevin durand']","['owen teague', 'freya allan', 'kevin durand']",['Action'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2415
furiosa: a mad max saga,0.7142857142857144,0.9907407407407408,R,george miller,"Anya Taylor-Joy, Chris Hemsworth, Tom Burke",0.3763837638376384,"anya taylor-joy, chris hemsworth, tom burke","['anya taylor-joy', 'chris hemsworth', 'tom burke']","['anya taylor-joy', 'chris hemsworth', 'tom burke']",['Action'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,775
wall·e,0.8035714285714288,0.8425925925925926,G,andrew stanton,"Andrew Stanton, Pete Docter, Jim Reardon",0.1918819188191882,"andrew stanton, pete docter, jim reardon","['andrew stanton', 'pete docter', 'jim reardon']","['andrew stanton', 'pete docter', 'jim reardon']",['Animation'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115
spider-man: beyond the spider-verse,0.5714285714285715,0.9074074074074074,R,joaquim dos santos,"Shameik Moore, Hailee Steinfeld, Brian Tyree Henry",0.2594095940959409,"shameik moore, hailee steinfeld, brian tyree henry","['shameik moore', 'hailee steinfeld', 'brian tyree henry']","['shameik moore', 'hailee steinfeld', 'brian tyree henry']",['Animation'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1086
hercules,0.6071428571428572,0.7407407407407407,G,ron clements,"Ron Clements, John Musker, Don Mc, Enery",0.1734317343173431,"ron clements, john musker, don mc, enery","['ron clements', 'john musker', 'don mc', 'enery']","['ron clements', 'john musker', 'don mc', 'enery']",['Animation'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
sing,0.5714285714285715,0.9166666666666666,PG,garth jennings,"Matthew Mc, Conaughey, Reese Witherspoon, Seth Mac, Farlane",0.2287822878228782,"matthew mc, conaughey, reese witherspoon, seth mac, farlane","['matthew mc', 'conaughey', 'reese witherspoon', 'seth mac', 'farlane']","['matthew mc', 'conaughey', 'reese witherspoon', 'seth mac', 'farlane']",['Animation'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,748
castle in the sky,0.7321428571428573,0.6388888888888888,PG,hayao miyazaki,"Hayao Miyazaki, Jonathan Swift",0.2915129151291513,"hayao miyazaki, jonathan swift","['hayao miyazaki', 'jonathan swift']","['hayao miyazaki', 'jonathan swift']",['Animation'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,865
"monsters, inc.",0.75,0.7777777777777778,G,pete docter,"Pete Docter, Jill Culton, Jeff Pidgeon",0.1697416974169742,"pete docter, jill culton, jeff pidgeon","['pete docter', 'jill culton', 'jeff pidgeon']","['pete docter', 'jill culton', 'jeff pidgeon']",['Animation'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1816
tangled,0.6785714285714287,0.861111111111111,PG,nathan greno,"Mandy Moore, Zachary Levi, Donna Murphy",0.1992619926199262,"mandy moore, zachary levi, donna murphy","['mandy moore', 'zachary levi', 'donna murphy']","['mandy moore', 'zachary levi', 'donna murphy']",['Animation'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1666
up,0.785714285714286,0.8518518518518519,PG,pete docter,"Pete Docter, Bob Peterson, Tom Mc, Carthy",0.1845018450184501,"pete docter, bob peterson, tom mc, carthy","['pete docter', 'bob peterson', 'tom mc', 'carthy']","['pete docter', 'bob peterson', 'tom mc', 'carthy']",['Animation'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1816
toy story,0.785714285714286,0.7222222222222222,G,john lasseter,"John Lasseter, Pete Docter, Andrew Stanton",0.1291512915129151,"john lasseter, pete docter, andrew stanton","['john lasseter', 'pete docter', 'andrew stanton']","['john lasseter', 'pete docter', 'andrew stanton']",['Animation'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1139
puss in boots: the last wish,0.6964285714285715,0.9722222222222222,PG,joel crawford,"Paul Fisher, Tommy Swerdlow, Tom Wheeler",0.2066420664206642,"paul fisher, tommy swerdlow, tom wheeler","['paul fisher', 'tommy swerdlow', 'tom wheeler']","['paul fisher', 'tommy swerdlow', 'tom wheeler']",['Animation'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1101
encanto,0.5892857142857144,0.962962962962963,PG,jared bush,"Charise Castro Smith, Jared Bush, Byron Howard",0.2066420664206642,"charise castro smith, jared bush, byron howard","['charise castro smith', 'jared bush', 'byron howard']","['charise castro smith', 'jared bush', 'byron howard']",['Animation'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1005
coco,0.8035714285714288,0.925925925925926,PG,lee unkrich,"Lee Unkrich, Jason Katz, Matthew Aldrich",0.2177121771217712,"lee unkrich, jason katz, matthew aldrich","['lee unkrich', 'jason katz', 'matthew aldrich']","['lee unkrich', 'jason katz', 'matthew aldrich']",['Animation'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1382
frozen,0.6250000000000002,0.8888888888888888,PG,chris buck,"Jennifer Lee, Hans Christian Andersen, Chris Buck",0.2066420664206642,"jennifer lee, hans christian andersen, chris buck","['jennifer lee', 'hans christian andersen', 'chris buck']","['jennifer lee', 'hans christian andersen', 'chris buck']",['Animation'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373
mufasa: the lion king,0.5714285714285715,0.9907407407407408,R,barry jenkins,"Linda Woolverton, Irene Mecchi, Jonathan Roberts",0.2594095940959409,"linda woolverton, irene mecchi, jonathan roberts","['linda woolverton', 'irene mecchi', 'jonathan roberts']","['linda woolverton', 'irene mecchi', 'jonathan roberts']",['Animation'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192
howl's moving castle,0.7678571428571429,0.8055555555555556,PG,hayao miyazaki,"Chieko BaishôTakuya Kimura, Tatsuya Gashûin",0.2693726937269373,"chieko baishôtakuya kimura, tatsuya gashûin","['chieko baishôtakuya kimura', 'tatsuya gashûin']","['chieko baishôtakuya kimura', 'tatsuya gashûin']",['Animation'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,865
zootopia,0.7321428571428573,0.9166666666666666,PG,byron howard,"Byron Howard, Rich Moore, Jared Bush",0.2287822878228782,"byron howard, rich moore, jared bush","['byron howard', 'rich moore', 'jared bush']","['byron howard', 'rich moore', 'jared bush']",['Animation'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316
teenage mutant ninja turtles: mutant mayhem,0.5892857142857144,0.9814814814814814,PG,jeff rowe,"Seth Rogen, Evan Goldberg, Jeff Rowe",0.1955719557195572,"seth rogen, evan goldberg, jeff rowe","['seth rogen', 'evan goldberg', 'jeff rowe']","['seth rogen', 'evan goldberg', 'jeff rowe']",['Animation'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1038
kung fu panda,0.6607142857142858,0.8425925925925926,PG,mark osborne,"Jonathan Aibel, Glenn Berger, Ethan Reiff",0.1697416974169742,"jonathan aibel, glenn berger, ethan reiff","['jonathan aibel', 'glenn berger', 'ethan reiff']","['jonathan aibel', 'glenn berger', 'ethan reiff']",['Animation'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1488
the lion king,0.5178571428571429,0.9444444444444444,PG,jon favreau,"Jeff Nathanson, Irene Mecchi, Jonathan Roberts",0.2656826568265683,"jeff nathanson, irene mecchi, jonathan roberts","['jeff nathanson', 'irene mecchi', 'jonathan roberts']","['jeff nathanson', 'irene mecchi', 'jonathan roberts']",['Animation'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1167
spider-man: into the spider-verse,0.8035714285714288,0.9351851851851852,PG,bob persichetti,"Phil Lord, Rodney Rothman",0.2619926199261992,"phil lord, rodney rothman","['phil lord', 'rodney rothman']","['phil lord', 'rodney rothman']",['Animation'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252
the incredibles,0.7321428571428573,0.8055555555555556,PG,brad bird,"Craig T. Nelson, Samuel L. Jackson, Holly Hunter",0.2546125461254612,"craig t. nelson, samuel l. jackson, holly hunter","['craig t. nelson', 'samuel l. jackson', 'holly hunter']","['craig t. nelson', 'samuel l. jackson', 'holly hunter']",['Animation'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261
mars express,0.642857142857143,0.9814814814814814,Not Rated,jérémie périn,"Léa Drucker, Mathieu Amalric, Daniel Njo Lobé",0.1549815498154981,"léa drucker, mathieu amalric, daniel njo lobé","['léa drucker', 'mathieu amalric', 'daniel njo lobé']","['léa drucker', 'mathieu amalric', 'daniel njo lobé']",['Animation'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1257
shrek ,0.6071428571428572,0.8055555555555556,PG,andrew adamson,"William Steig, Andrew Adamson, Joe Stillman",0.1734317343173431,"william steig, andrew adamson, joe stillman","['william steig', 'andrew adamson', 'joe stillman']","['william steig', 'andrew adamson', 'joe stillman']",['Animation'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98
your name.,0.8035714285714288,0.9166666666666666,R,makoto shinkai,"Makoto Shinkai, Clark Cheng",0.2594095940959409,"makoto shinkai, clark cheng","['makoto shinkai', 'clark cheng']","['makoto shinkai', 'clark cheng']",['Animation'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1438
elemental,0.5535714285714287,0.9814814814814814,PG,peter sohn,"John Hoberg, Kat Likkel, Brenda Hsueh",0.2029520295202952,"john hoberg, kat likkel, brenda hsueh","['john hoberg', 'kat likkel', 'brenda hsueh']","['john hoberg', 'kat likkel', 'brenda hsueh']",['Animation'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1842
ratatouille,0.75,0.8333333333333334,G,brad bird,"Brad Bird, Jan Pinkava, Jim Capobianco",0.2398523985239852,"brad bird, jan pinkava, jim capobianco","['brad bird', 'jan pinkava', 'jim capobianco']","['brad bird', 'jan pinkava', 'jim capobianco']",['Animation'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261
moana,0.6607142857142858,0.9166666666666666,PG,ron clements,"Ron Clements, John Musker, Don Hall",0.2250922509225092,"ron clements, john musker, don hall","['ron clements', 'john musker', 'don hall']","['ron clements', 'john musker', 'don hall']",['Animation'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
harold and the purple crayon,0.5714285714285715,0.9907407407407408,PG,carlos saldanha,"Zachary Levi, Lil Rel Howery, Benjamin Bottani",0.1697416974169742,"zachary levi, lil rel howery, benjamin bottani","['zachary levi', 'lil rel howery', 'benjamin bottani']","['zachary levi', 'lil rel howery', 'benjamin bottani']",['Animation'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331
finding nemo,0.7678571428571429,0.7962962962962963,G,andrew stanton,"Andrew Stanton, Bob Peterson, David Reynolds",0.1992619926199262,"andrew stanton, bob peterson, david reynolds","['andrew stanton', 'bob peterson', 'david reynolds']","['andrew stanton', 'bob peterson', 'david reynolds']",['Animation'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115
sing ,0.6071428571428572,0.962962962962963,PG,garth jennings,"Matthew Mc, Conaughey, Reese Witherspoon, Scarlett Johansson",0.2361623616236162,"matthew mc, conaughey, reese witherspoon, scarlett johansson","['matthew mc', 'conaughey', 'reese witherspoon', 'scarlett johansson']","['matthew mc', 'conaughey', 'reese witherspoon', 'scarlett johansson']",['Animation'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,748
trolls band together,0.3750000000000001,0.9814814814814814,PG,walt dohrn,"Anna Kendrick, Justin Timberlake, Kenan Thompson",0.1660516605166052,"anna kendrick, justin timberlake, kenan thompson","['anna kendrick', 'justin timberlake', 'kenan thompson']","['anna kendrick', 'justin timberlake', 'kenan thompson']",['Animation'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2398
